minimum_abs_tilt_sigma_per_5m,band_stdev,period,events,reach_2_units_300s_rate,reach_3_units_300s_rate,spread_cover_5s_rate,median_mfe_60,median_mae_60,mean_pnl_60
0.0,1.0,earlier,73,0.5068493150684932,0.4246575342465753,0.3835616438356164,0.930000000000291,1.230000000000473,-0.11109589041097936
0.0,1.0,later,44,0.6363636363636364,0.5227272727272727,0.4090909090909091,0.8449999999997999,1.2849999999998545,0.07522727272726114
0.0,1.0,all,117,0.5555555555555556,0.46153846153846156,0.39316239316239315,0.8600000000005821,1.2600000000002185,-0.04102564102565813
0.0,2.0,earlier,9,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6700000000000728,0.8299999999999272,-0.4077777777776848
0.0,2.0,later,4,0.75,0.5,0.25,1.6700000000000728,1.7950000000000728,-0.5924999999999727
0.0,2.0,all,13,0.46153846153846156,0.38461538461538464,0.38461538461538464,1.0399999999999636,0.9500000000007276,-0.4646153846153119
0.0,3.0,earlier,0,,,,,,
0.0,3.0,later,1,1.0,1.0,0.0,1.480000000000473,0.7100000000000364,1.3400000000001455
0.0,3.0,all,1,1.0,1.0,0.0,1.480000000000473,0.7100000000000364,1.3400000000001455
0.2,1.0,earlier,40,0.5,0.425,0.4,0.919999999999618,1.2450000000003456,-0.00025000000000550136
0.2,1.0,later,27,0.5185185185185185,0.4444444444444444,0.4444444444444444,0.8400000000001455,1.269999999999527,0.031111111111150187
0.2,1.0,all,67,0.5074626865671642,0.43283582089552236,0.417910447761194,0.8400000000001455,1.2600000000002185,0.012388059701505
0.2,2.0,earlier,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6700000000000728,0.8299999999999272,-0.24285714285711676
0.2,2.0,later,3,0.6666666666666666,0.6666666666666666,0.0,1.0999999999994543,0.9500000000007276,-0.02333333333323632
0.2,2.0,all,10,0.5,0.5,0.3,0.8849999999997635,0.8900000000003274,-0.1769999999999527
0.2,3.0,earlier,0,,,,,,
0.2,3.0,later,1,1.0,1.0,0.0,1.480000000000473,0.7100000000000364,1.3400000000001455
0.2,3.0,all,1,1.0,1.0,0.0,1.480000000000473,0.7100000000000364,1.3400000000001455
0.35,1.0,earlier,19,0.47368421052631576,0.47368421052631576,0.3157894736842105,0.2200000000002546,1.3400000000001455,-0.5468421052631752
0.35,1.0,later,13,0.6923076923076923,0.6153846153846154,0.6153846153846154,1.2899999999999636,1.019999999999527,0.37923076923079163
0.35,1.0,all,32,0.5625,0.53125,0.4375,0.8449999999997999,1.1099999999996726,-0.17062500000000116
0.35,2.0,earlier,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6700000000000728,1.0600000000004002,-0.9699999999999513
0.35,2.0,later,1,1.0,1.0,0.0,2.240000000000691,0.2399999999997817,1.550000000000182
0.35,2.0,all,4,0.5,0.5,0.25,1.455000000000382,0.7850000000003092,-0.33999999999991803
0.35,3.0,earlier,0,,,,,,
0.35,3.0,later,1,1.0,1.0,0.0,1.480000000000473,0.7100000000000364,1.3400000000001455
0.35,3.0,all,1,1.0,1.0,0.0,1.480000000000473,0.7100000000000364,1.3400000000001455
0.5,1.0,earlier,10,0.4,0.4,0.3,0.2849999999998545,2.949999999999818,-1.9789999999999055
0.5,1.0,later,2,0.5,0.5,0.0,0.9950000000003456,4.234999999999673,-1.1199999999998909
0.5,1.0,all,12,0.4166666666666667,0.4166666666666667,0.25,0.3949999999999818,3.375,-1.8358333333332364
0.5,2.0,earlier,1,0.0,0.0,0.0,0.6700000000000728,0.5100000000002183,-0.3500000000003638
0.5,2.0,later,1,1.0,1.0,0.0,2.240000000000691,0.2399999999997817,1.550000000000182
0.5,2.0,all,2,0.5,0.5,0.0,1.455000000000382,0.375,0.599999999999909
0.5,3.0,earlier,0,,,,,,
0.5,3.0,later,0,,,,,,
0.5,3.0,all,0,,,,,,
