day,period,timestamp_utc,tick_id,side,band_stdev,bid,ask,spread,tick_vwap,tick_stdev,active_band,vwap_slope_60_per_minute,vwap_slope_300_per_minute,normalized_five_minute_tilt_sigma,absolute_normalized_tilt,spread_ratio,maximum_prior_5s_jump,entry_price,spread_cover_seconds,mfe_5,mae_5,pnl_5,mfe_15,mae_15,pnl_15,mfe_60,mae_60,pnl_60,mfe_300,mae_300,pnl_300,reached_2_units_300s,reached_3_units_300s
2026-01-19,earlier,2026-01-19T09:58:29+00:00,26632053,long,1.0,4667.41,4667.61,0.2,4668.55263496144,1.1113216604436964,4667.441313300997,0.0061075705389157,0.0110587648630826,0.0497550135874585,0.0497550135874585,1.1111111111111112,0.1599999999998544,4667.61,4.0,0.1000000000003638,0.1999999999998181,0.0900000000001455,0.4800000000004729,0.1999999999998181,0.0900000000001455,0.8600000000005821,0.1999999999998181,0.7899999999999636,0.9900000000006912,0.8899999999994179,0.2200000000002546,False,False
2026-01-19,earlier,2026-01-19T10:02:52+00:00,26632624,long,2.0,4667.39,4667.55,0.16,4668.815572865555,0.7646967822658501,4667.286179301023,0.02922256252441,0.0529918193187768,0.3464890957286257,0.3464890957286257,0.888888888888889,0.2799999999997453,4667.55,15.0,-0.0500000000001819,0.2399999999997817,-0.2399999999997817,0.0299999999997453,0.8299999999999272,0.0299999999997453,0.4899999999997817,0.8299999999999272,-0.4499999999998181,1.7600000000002185,0.8299999999999272,0.7699999999995271,False,False
2026-01-19,earlier,2026-01-19T10:55:26+00:00,26640222,short,1.0,4666.7,4666.85,0.15,4665.341075865128,1.626366057154461,4666.967441922283,-0.0354118580862632,-0.0669458978543843,-0.2058143600571538,0.2058143600571538,1.0,0.1949999999997089,4666.7,7.0,-0.1000000000003638,0.2700000000004365,-0.110000000000582,0.4200000000000727,0.2700000000004365,0.3199999999997089,1.0,0.2700000000004365,1.0,2.9399999999996,0.2700000000004365,2.269999999999527,True,False
2026-01-19,earlier,2026-01-19T11:17:09+00:00,26643094,long,1.0,4663.76,4663.92,0.16,4664.847836609337,1.0768023822983737,4663.771034227038,0.0369391734393502,0.0800832204846301,0.3718566275535955,0.3718566275535955,1.0,0.125,4663.92,12.0,-0.0399999999999636,0.1599999999998544,-0.0500000000001819,0.0799999999999272,0.1599999999998544,-0.0600000000004001,0.2200000000002546,0.3199999999997089,-0.0900000000001455,0.2299999999995634,2.2100000000000364,-0.6900000000005093,False,False
2026-01-19,earlier,2026-01-19T13:24:43+00:00,26664300,long,1.0,4670.15,4670.34,0.19,4670.797796023433,0.8758752736673299,4669.921920749765,0.0345223706335673,0.0233885081870539,0.1335150613918189,0.1335150613918189,0.95,0.2349999999996725,4670.34,6.0,-0.0699999999997089,0.1999999999998181,-0.0699999999997089,0.4399999999995998,0.1999999999998181,0.2799999999997453,0.930000000000291,0.1999999999998181,0.3400000000001455,1.6499999999996362,1.2799999999997451,1.3499999999994543,False,False
2026-01-19,earlier,2026-01-19T13:30:59+00:00,26665317,short,2.0,4672.3,4672.47,0.17,4670.682543875854,0.8596629310641442,4672.401869737982,-0.0171214459869588,-0.0248633220067858,-0.1446108765909478,0.1446108765909478,1.0625,0.0900000000001455,4672.3,9.0,-0.1700000000000727,0.2899999999999636,-0.2899999999999636,0.930000000000291,0.3199999999997089,0.5100000000002183,1.0399999999999636,0.3199999999997089,-0.1399999999994179,1.7700000000004366,1.4899999999997815,1.2600000000002185,False,False
2026-01-19,earlier,2026-01-19T17:07:00+00:00,26697112,long,1.0,4672.57,4672.73,0.16,4672.786215442092,0.4705015281045363,4672.315713913988,0.0232319132674092,0.0336284999511917,0.3573686581493968,0.3573686581493968,1.0,0.4899999999997817,4672.73,,-0.1499999999996362,0.1899999999995998,-0.1899999999995998,-0.089999999999236,0.3899999999994179,-0.2899999999999636,-0.089999999999236,0.7999999999992724,-0.3799999999991996,-0.089999999999236,2.269999999999527,-2.269999999999527,False,False
2026-01-19,earlier,2026-01-19T17:34:37+00:00,26700732,short,1.0,4672.05,4672.22,0.17,4671.25285677618,0.9093028332400098,4672.16215960942,-0.0143076533504427,-0.0018596426407384,-0.0102256507554926,0.0102256507554926,0.8947368421052632,0.0949999999993451,4672.05,191.0,-0.0100000000002182,0.1700000000000727,-0.0100000000002182,-0.0100000000002182,0.3299999999999272,-0.2100000000000363,-0.0100000000002182,0.7899999999999636,-0.7899999999999636,0.0600000000004001,1.1199999999998909,-0.9399999999995998,False,False
2026-01-19,earlier,2026-01-19T18:37:29+00:00,26709202,long,1.0,4675.39,4675.57,0.18,4677.009194230291,1.658684002554032,4675.350510227737,0.010074459374664,0.0453767057251752,0.1367852636647621,0.1367852636647621,1.2,0.0399999999990541,4675.57,17.0,-0.1799999999993815,0.1899999999995998,-0.1899999999995998,-0.1399999999994179,0.1899999999995998,-0.1499999999996362,1.730000000000473,0.1899999999995998,1.2100000000000364,1.980000000000473,0.1899999999995998,1.730000000000473,False,False
2026-01-19,earlier,2026-01-19T18:51:56+00:00,26710762,long,1.0,4676.45,4676.6,0.15,4677.671620455139,1.180892917422928,4676.490727537716,0.0107567364939313,0.0089016728918068,0.0376904322164663,0.0376904322164663,1.0,0.0699999999997089,4676.6,31.0,-0.1300000000001091,0.1500000000005457,-0.1400000000003274,-0.1000000000003638,0.1500000000005457,-0.110000000000582,0.0299999999997453,0.3400000000001455,-0.0399999999999636,0.2399999999997817,0.8600000000005821,0.1999999999998181,False,False
