period,window_minutes,band_stdev,slope_mode,side,events,successes,excellent_proxy_rate,cover_5s_rate,median_mfe_15,median_mae_15
earlier,15,0.5,60,long,134,18,0.13432835820895522,0.3582089552238806,0.15500000000020003,0.6300000000001091
earlier,15,0.5,60,short,112,20,0.17857142857142858,0.5446428571428571,0.2299999999995634,0.6950000000001637
earlier,15,0.5,300,long,153,22,0.1437908496732026,0.3202614379084967,0.110000000000582,0.660000000000764
earlier,15,0.5,300,short,124,24,0.1935483870967742,0.5725806451612904,0.2699999999999818,0.6900000000005093
earlier,15,0.5,both,long,119,17,0.14285714285714285,0.31092436974789917,0.1300000000001091,0.6400000000003274
earlier,15,0.5,both,short,96,17,0.17708333333333334,0.5729166666666666,0.21499999999969072,0.705000000000382
earlier,15,1.0,60,long,86,13,0.1511627906976744,0.4883720930232558,0.24499999999989086,0.8400000000001455
earlier,15,1.0,60,short,61,10,0.16393442622950818,0.5573770491803278,0.2299999999995634,0.6199999999998909
earlier,15,1.0,300,long,134,22,0.16417910447761194,0.4925373134328358,0.25,0.8650000000006912
earlier,15,1.0,300,short,90,10,0.1111111111111111,0.4888888888888889,0.1749999999997271,0.6850000000004002
earlier,15,1.0,both,long,79,13,0.16455696202531644,0.5189873417721519,0.2399999999997817,0.8600000000005821
earlier,15,1.0,both,short,54,9,0.16666666666666666,0.5555555555555556,0.27499999999963615,0.6100000000001273
earlier,15,1.5,60,long,37,5,0.13513513513513514,0.35135135135135137,0.1999999999998181,0.7100000000000364
earlier,15,1.5,60,short,30,4,0.13333333333333333,0.6,0.4200000000005275,0.6799999999998363
earlier,15,1.5,300,long,79,10,0.12658227848101267,0.4430379746835443,0.25,0.6599999999998545
earlier,15,1.5,300,short,79,15,0.189873417721519,0.4936708860759494,0.2399999999997817,0.5500000000001819
earlier,15,1.5,both,long,31,3,0.0967741935483871,0.3548387096774194,0.1999999999998181,0.6599999999998545
earlier,15,1.5,both,short,28,4,0.14285714285714285,0.6071428571428571,0.4200000000005275,0.6799999999998363
earlier,15,2.0,60,long,18,3,0.16666666666666666,0.4444444444444444,-0.015000000000327349,1.1349999999997635
earlier,15,2.0,60,short,6,2,0.3333333333333333,0.5,0.4149999999999636,0.49000000000023647
earlier,15,2.0,300,long,58,7,0.1206896551724138,0.43103448275862066,0.29000000000041837,0.8450000000002547
earlier,15,2.0,300,short,39,6,0.15384615384615385,0.6410256410256411,0.4499999999998181,0.8100000000004002
earlier,15,2.0,both,long,17,3,0.17647058823529413,0.47058823529411764,-0.0100000000002182,1.0399999999999636
earlier,15,2.0,both,short,5,1,0.2,0.4,0.3599999999996726,0.5300000000006548
later,15,0.5,60,long,54,6,0.1111111111111111,0.42592592592592593,0.20499999999992718,0.6449999999999818
later,15,0.5,60,short,52,4,0.07692307692307693,0.38461538461538464,0.1249999999995452,0.6550000000002001
later,15,0.5,300,long,53,5,0.09433962264150944,0.39622641509433965,0.1599999999998544,0.6499999999996362
later,15,0.5,300,short,63,5,0.07936507936507936,0.42857142857142855,0.1199999999998908,0.6599999999998545
later,15,0.5,both,long,46,5,0.10869565217391304,0.391304347826087,0.14499999999998175,0.6999999999998181
later,15,0.5,both,short,44,3,0.06818181818181818,0.36363636363636365,0.1249999999995452,0.6850000000004002
later,15,1.0,60,long,38,4,0.10526315789473684,0.2631578947368421,-0.05000000000018185,0.8100000000004002
later,15,1.0,60,short,34,0,0.0,0.3235294117647059,0.2449999999998908,0.6100000000001273
later,15,1.0,300,long,52,7,0.1346153846153846,0.3076923076923077,0.24499999999989086,0.75
later,15,1.0,300,short,45,3,0.06666666666666667,0.4222222222222222,0.2100000000000363,0.6300000000001091
later,15,1.0,both,long,34,4,0.11764705882352941,0.29411764705882354,0.1050000000000182,0.7650000000003274
later,15,1.0,both,short,29,0,0.0,0.27586206896551724,0.2100000000000363,0.6300000000001091
later,15,1.5,60,long,24,3,0.125,0.3333333333333333,0.14500000000043656,0.6950000000001637
later,15,1.5,60,short,11,1,0.09090909090909091,0.45454545454545453,0.0299999999997453,0.7000000000007276
later,15,1.5,300,long,43,6,0.13953488372093023,0.3488372093023256,0.1500000000005457,0.8299999999999272
later,15,1.5,300,short,27,1,0.037037037037037035,0.37037037037037035,0.0200000000004365,0.9600000000000364
later,15,1.5,both,long,23,3,0.13043478260869565,0.34782608695652173,0.1500000000005457,0.6900000000005093
later,15,1.5,both,short,10,1,0.1,0.5,0.17000000000007273,0.7449999999998909
later,15,2.0,60,long,3,0,0.0,0.3333333333333333,-0.1300000000001091,0.5500000000001819
