day,period,timestamp_utc,tick_id,side,bid,ask,spread,zone_radius,in_hot_zone,near_zones,confluence,nearest_zone,nearest_distance,entry_price,mfe_5,mae_5,pnl_5,mfe_15,mae_15,pnl_15,mfe_60,mae_60,pnl_60,cover_seconds,covered_within_5s,excellent_entry_proxy,zone_interactions,aligned,quote_slope_300
2026-01-20,earlier,2026-01-19T23:09:03+00:00,26717178,short,4670.94,4671.09,0.15,0.35,True,time_average|previous_close|quote_average,3,time_average,0.000599173552473,4670.94,-0.0800000000008367,0.180000000000291,-0.1400000000003274,-0.0800000000008367,0.1900000000005093,-0.1000000000003638,0.25,0.5200000000004366,-0.0100000000002182,,False,False,time_average:reaction|previous_close:reaction|quote_average:reaction,True,-2.3623748433319633
2026-01-20,earlier,2026-01-19T23:16:58+00:00,26718102,short,4670.71,4670.86,0.15,0.35,True,quote_average|time_average|previous_close,3,quote_average,0.0495185950339873,4670.71,0.0399999999999636,0.3199999999997089,-0.3199999999997089,0.0399999999999636,0.3900000000003274,-0.1499999999996362,0.2200000000002546,1.680000000000291,-1.5299999999997451,1.0,True,False,quote_average:reaction|time_average:reaction|previous_close:reaction,True,-0.13757845676718716
2026-01-20,earlier,2026-01-19T23:21:04+00:00,26718595,long,4670.7,4670.88,0.18,0.35,True,time_average|quote_average|previous_close,3,time_average,0.0981203319497581,4670.88,-0.1400000000003274,0.180000000000291,-0.1500000000005457,0.0999999999994543,0.1900000000005093,-0.0699999999997089,0.0999999999994543,0.3299999999999272,-0.1000000000003638,6.0,False,False,time_average:reaction|quote_average:reaction|previous_close:reaction,True,0.11597555060689047
2026-01-20,earlier,2026-01-20T00:15:00+00:00,26725005,short,4667.66,4667.84,0.18,0.35,True,time_average|quote_average,2,time_average,0.0832222472417925,4667.66,-0.0799999999999272,0.3000000000001819,-0.0799999999999272,-0.0799999999999272,0.3000000000001819,-0.1599999999998544,-0.0799999999999272,0.4400000000005093,-0.2200000000002546,,False,False,time_average:reaction|quote_average:reaction,True,-0.0630781529671367
2026-01-20,earlier,2026-01-20T02:09:29+00:00,26745179,short,4668.03,4668.24,0.21,0.42,True,time_average|quote_average,2,time_average,0.0988779840854476,4668.03,0.3499999999994543,0.1999999999998181,0.3499999999994543,0.6999999999998181,0.1999999999998181,0.6999999999998181,1.0099999999993088,0.2899999999999636,-0.0700000000006184,4.0,True,False,time_average:inside|quote_average:reaction,False,0.030289961984635738
2026-01-20,earlier,2026-01-20T02:49:21+00:00,26752160,long,4668.59,4668.83,0.24,0.38,True,quote_average|time_average,2,quote_average,0.1185080048417148,4668.83,-0.3099999999994907,0.4799999999995634,-0.4499999999998181,0.0200000000004365,0.569999999999709,-0.1700000000000727,0.0200000000004365,1.0399999999999636,-1.0399999999999636,9.0,False,False,quote_average:reaction|time_average:reaction,True,0.06725455163814331
2026-01-20,earlier,2026-01-20T02:49:41+00:00,26752224,short,4668.62,4668.84,0.22,0.4,True,quote_average|time_average,2,quote_average,0.0983439603924125,4668.62,0.269999999999527,0.2300000000004729,0.2600000000002183,0.3199999999997089,0.2300000000004729,0.3199999999997089,1.2299999999995634,0.2300000000004729,1.050000000000182,4.0,True,False,quote_average:reaction|time_average:inside,False,0.061083030199370114
2026-01-20,earlier,2026-01-20T02:50:15+00:00,26752347,short,4668.28,4668.5,0.22,0.44,True,time_average|quote_average,2,time_average,0.0963681302710028,4668.28,0.0799999999999272,0.2200000000002546,-0.1400000000003274,0.5099999999993088,0.2200000000002546,0.3000000000001819,1.2199999999993452,0.2200000000002546,0.6099999999996726,4.0,True,False,time_average:inside|quote_average:reaction,False,0.04588308501479332
2026-01-20,earlier,2026-01-20T02:57:20+00:00,26753699,long,4669.04,4669.19,0.15,0.35,True,quote_average,1,quote_average,0.296412525962296,4669.19,-0.1499999999996362,0.2599999999993088,-0.2599999999993088,-0.1499999999996362,0.5599999999994907,-0.4099999999998545,-0.1499999999996362,1.4600000000000364,-1.1199999999998909,,False,False,quote_average:reaction,True,0.0007673201880606939
2026-01-21,earlier,2026-01-20T21:02:41+00:00,26962093,long,4757.94,4758.21,0.27,0.54,True,time_average|quote_average,2,time_average,0.1750617283942119,4758.21,0.0799999999999272,0.3400000000001455,-0.0299999999997453,0.5600000000004002,0.3400000000001455,0.5600000000004002,0.6700000000000728,0.3400000000001455,0.3999999999996362,3.0,True,False,time_average:reaction|quote_average:reaction,False,0.0
