day,period,in_hot_zone,events,cover_5s_rate,excellent_proxy_rate,median_mfe_15,median_mae_15
2026-01-20,earlier,False,1057,0.38505203405865657,0.0586565752128666,0.06999999999970896,0.4600000000000364
2026-01-20,earlier,True,76,0.32894736842105265,0.02631578947368421,0.04500000000052751,0.3799999999996544
2026-01-21,earlier,False,1113,0.47079964061096136,0.12039532794249776,0.23999999999978172,0.6099999999996726
2026-01-21,earlier,True,54,0.5185185185185185,0.14814814814814814,0.23499999999967258,0.5099999999997635
2026-01-22,earlier,False,1002,0.4171656686626746,0.07884231536926148,0.11999999999989086,0.5549999999998363
2026-01-22,earlier,True,111,0.45045045045045046,0.10810810810810811,0.14000000000032742,0.5299999999997453
2026-01-23,earlier,False,1060,0.44433962264150945,0.10283018867924529,0.1299999999996544,0.5200000000004366
2026-01-23,earlier,True,82,0.3780487804878049,0.0975609756097561,0.07000000000016371,0.7249999999994543
2026-01-26,earlier,False,1073,0.48555452003727867,0.13793103448275862,0.22999999999956344,0.6999999999998181
2026-01-26,earlier,True,33,0.5454545454545454,0.18181818181818182,0.5500000000001819,1.0299999999997453
2026-01-27,earlier,False,1119,0.46648793565683644,0.1358355674709562,0.23000000000047294,0.680000000000291
2026-01-27,earlier,True,54,0.5555555555555556,0.1111111111111111,0.5300000000002001,1.1849999999994907
2026-01-28,earlier,False,1136,0.511443661971831,0.1522887323943662,0.32000000000061846,0.875
2026-01-28,earlier,True,53,0.37735849056603776,0.1509433962264151,0.1500000000005457,0.8299999999999272
2026-01-29,earlier,False,1058,0.5803402646502835,0.22022684310018903,0.6900000000005093,1.1700000000000728
2026-01-29,earlier,True,62,0.6129032258064516,0.25806451612903225,0.775000000000091,0.9249999999997272
2026-01-30,earlier,False,1114,0.6364452423698385,0.2324955116696589,1.4699999999998,1.9399999999995998
2026-01-30,earlier,True,42,0.5238095238095238,0.16666666666666666,0.5299999999997453,1.375
2026-02-02,earlier,False,997,0.6288866599799399,0.238716148445336,1.5100000000002183,2.0399999999999636
2026-02-02,earlier,True,72,0.6944444444444444,0.2638888888888889,1.644999999999527,2.5700000000001637
2026-02-03,earlier,False,1177,0.4817332200509771,0.16822429906542055,0.47999999999956344,1.4400000000005093
2026-02-03,earlier,True,32,0.4375,0.09375,0.10500000000001819,1.8500000000003638
2026-02-04,earlier,False,1086,0.43554327808471455,0.1574585635359116,0.3550000000000182,1.0850000000004911
2026-02-04,earlier,True,106,0.37735849056603776,0.1792452830188679,0.31999999999970896,1.050000000000182
2026-02-05,earlier,False,1105,0.4588235294117647,0.17104072398190046,0.48000000000047294,1.4299999999993815
2026-02-05,earlier,True,88,0.5113636363636364,0.18181818181818182,0.455000000000382,1.3849999999997635
2026-02-06,later,False,1150,0.42,0.13391304347826086,0.3000000000001819,1.1300000000001091
2026-02-06,later,True,75,0.4533333333333333,0.16,0.23000000000047294,1.0100000000002183
2026-02-09,later,False,1059,0.3626062322946176,0.11614730878186968,0.12000000000080036,0.8299999999999272
2026-02-09,later,True,94,0.35106382978723405,0.13829787234042554,0.11999999999989086,0.8099999999999454
2026-02-10,later,False,1052,0.3593155893536122,0.0979087452471483,0.11999999999989086,0.75
2026-02-10,later,True,191,0.3612565445026178,0.13612565445026178,0.0500000000001819,0.7799999999997453
2026-02-11,later,False,1149,0.37597911227154046,0.09312445604873804,0.09000000000014552,0.7100000000000364
2026-02-11,later,True,103,0.4368932038834951,0.1553398058252427,0.1500000000005457,0.6400000000003274
2026-02-12,later,False,1083,0.39981532779316714,0.11449676823638043,0.17000000000007276,0.6899999999995998
2026-02-12,later,True,123,0.34146341463414637,0.06504065040650407,0.06999999999970896,0.589999999999236
