period,zone,interaction,events,cover_5s_rate,excellent_proxy_rate,median_mfe_15,median_mae_15,median_mfe_60
earlier,classic_pivot,breakout,11,0.45454545454545453,0.2727272727272727,0.5599999999994907,0.569999999999709,1.1499999999996362
earlier,classic_pivot,inside,17,0.4117647058823529,0.058823529411764705,0.1399999999994179,0.75,0.3600000000005821
earlier,classic_pivot,reaction,11,0.45454545454545453,0.2727272727272727,0.2399999999997817,0.4399999999995998,0.680000000000291
earlier,opening_range_high,breakout,12,0.25,0.0,0.16499999999996356,1.1700000000000728,1.3700000000003456
earlier,opening_range_high,inside,32,0.40625,0.21875,0.21500000000014552,0.5650000000000546,1.5049999999996544
earlier,opening_range_high,reaction,16,0.375,0.125,0.2099999999995816,1.199999999999818,1.8899999999998727
earlier,opening_range_low,breakout,20,0.4,0.1,0.1199999999998908,0.9450000000001637,0.7249999999994543
earlier,opening_range_low,inside,24,0.5416666666666666,0.125,0.5950000000002547,0.8550000000000182,1.7300000000000182
earlier,opening_range_low,reaction,27,0.48148148148148145,0.18518518518518517,0.3199999999997089,1.4099999999998545,2.5499999999992724
earlier,previous_close,breakout,25,0.44,0.28,0.4700000000002546,0.5999999999994543,1.1700000000000728
earlier,previous_close,inside,46,0.3695652173913043,0.043478260869565216,0.08500000000003635,0.6599999999998545,0.7199999999997999
earlier,previous_close,reaction,23,0.5217391304347826,0.08695652173913043,0.4499999999998181,0.5399999999999636,0.9400000000005092
earlier,previous_high,breakout,10,0.3,0.1,-0.05500000000029105,1.2950000000000728,-0.05500000000029105
earlier,previous_high,inside,21,0.42857142857142855,0.23809523809523808,0.5799999999999272,0.9099999999998544,0.7899999999999636
earlier,previous_high,reaction,12,0.4166666666666667,0.25,0.849999999999909,1.1299999999996544,1.5200000000004366
earlier,previous_low,breakout,17,0.6470588235294118,0.35294117647058826,1.3500000000003638,2.25,4.199999999999818
earlier,previous_low,inside,21,0.5714285714285714,0.14285714285714285,1.180000000000291,1.4200000000000728,2.3900000000003274
earlier,previous_low,reaction,18,0.7777777777777778,0.1111111111111111,1.0850000000000364,2.894999999999982,3.1299999999996544
earlier,previous_midrange,breakout,6,0.3333333333333333,0.16666666666666666,0.09500000000025466,1.199999999999818,3.794999999999618
earlier,previous_midrange,inside,10,0.6,0.2,0.41000000000030923,0.5099999999997635,0.8099999999999454
earlier,previous_midrange,reaction,12,0.5,0.16666666666666666,0.5100000000002183,0.9549999999999272,0.8799999999996544
earlier,quote_average,breakout,57,0.49122807017543857,0.14035087719298245,0.2200000000002546,0.8900000000003274,0.9600000000000364
earlier,quote_average,inside,98,0.3469387755102041,0.10204081632653061,0.09000000000014549,0.7600000000002183,0.7149999999996908
earlier,quote_average,reaction,68,0.5735294117647058,0.20588235294117646,0.5299999999997453,0.7049999999999272,0.9100000000003092
earlier,resistance_1,breakout,17,0.29411764705882354,0.058823529411764705,-0.0200000000004365,0.8000000000001819,1.059999999999491
earlier,resistance_1,inside,26,0.38461538461538464,0.038461538461538464,-0.03499999999939975,1.0400000000004184,0.5549999999998363
earlier,resistance_1,reaction,18,0.3888888888888889,0.05555555555555555,0.0,0.6349999999997635,0.6299999999996544
earlier,session_open,breakout,27,0.5925925925925926,0.14814814814814814,0.3199999999997089,0.5500000000001819,0.430000000000291
earlier,session_open,inside,36,0.3333333333333333,0.05555555555555555,0.09499999999979986,0.7650000000003274,0.4600000000000364
earlier,session_open,reaction,25,0.56,0.16,0.7600000000002183,0.6199999999998909,1.6599999999998545
earlier,support_1,breakout,13,0.6153846153846154,0.3076923076923077,0.4899999999997817,0.7799999999997453,6.099999999999454
earlier,support_1,inside,10,0.5,0.0,0.8099999999999454,2.8649999999997817,3.2600000000002183
earlier,support_1,reaction,16,0.6875,0.375,0.7650000000003274,0.9100000000003092,2.2400000000002365
earlier,time_average,breakout,56,0.5,0.19642857142857142,0.4499999999998181,0.8250000000002728,1.555000000000291
earlier,time_average,inside,107,0.308411214953271,0.09345794392523364,0.0600000000004001,0.6799999999993815,0.7299999999995634
earlier,time_average,reaction,65,0.6307692307692307,0.2,0.569999999999709,0.5,0.8899999999994179
later,classic_pivot,breakout,18,0.2222222222222222,0.0,0.0750000000002728,0.7349999999996726,1.099999999999909
later,classic_pivot,inside,19,0.3684210526315789,0.0,-0.1199999999998908,1.0600000000004002,0.3800000000001091
later,classic_pivot,reaction,19,0.3684210526315789,0.15789473684210525,0.0600000000004001,0.6199999999998909,1.0900000000001455
later,opening_range_high,breakout,13,0.3076923076923077,0.07692307692307693,-0.1899999999995998,2.039999999999964,0.25
later,opening_range_high,inside,15,0.13333333333333333,0.06666666666666667,-0.2899999999999636,1.2700000000004366,0.3099999999994907
later,opening_range_high,reaction,12,0.5833333333333334,0.3333333333333333,0.9499999999998181,0.4450000000001637,2.2600000000002183
later,opening_range_low,breakout,9,0.2222222222222222,0.0,-0.1999999999998181,1.269999999999527,-0.110000000000582
later,opening_range_low,inside,22,0.45454545454545453,0.13636363636363635,0.23499999999967253,0.48500000000012733,0.5750000000002728
later,opening_range_low,reaction,12,0.4166666666666667,0.08333333333333333,0.23499999999967253,0.6349999999997635,0.8150000000000546
later,previous_close,breakout,7,0.42857142857142855,0.14285714285714285,0.0599999999994906,0.6999999999998181,2.3299999999999272
later,previous_close,inside,7,0.2857142857142857,0.14285714285714285,-0.1199999999998908,0.3400000000001455,0.6300000000001091
later,previous_close,reaction,6,0.3333333333333333,0.0,-0.05499999999983625,2.0850000000000364,0.8349999999995816
later,previous_high,breakout,7,0.8571428571428571,0.2857142857142857,0.5200000000004366,0.3699999999998908,2.949999999999818
later,previous_high,inside,11,0.2727272727272727,0.09090909090909091,0.2600000000002183,0.9299999999993817,0.7799999999997453
later,previous_high,reaction,6,0.5,0.3333333333333333,0.07499999999981814,0.3750000000004547,1.2049999999999272
later,previous_low,inside,1,1.0,1.0,5.1200000000008,0.1999999999998181,7.350000000000364
later,previous_low,reaction,1,1.0,0.0,1.6599999999998545,3.949999999999818,1.6599999999998545
later,previous_midrange,breakout,23,0.391304347826087,0.13043478260869565,0.1499999999996362,0.6399999999994179,0.9200000000000728
later,previous_midrange,inside,44,0.25,0.09090909090909091,-0.0699999999997089,0.7200000000002547,0.7999999999997272
later,previous_midrange,reaction,33,0.45454545454545453,0.09090909090909091,0.2700000000004365,0.7899999999999636,0.8299999999999272
later,quote_average,breakout,40,0.425,0.075,0.08000000000038195,0.9050000000002001,0.6750000000001819
later,quote_average,inside,89,0.29213483146067415,0.06741573033707865,-0.0,0.5999999999994543,0.8699999999998909
later,quote_average,reaction,48,0.375,0.22916666666666666,0.11999999999989079,0.6449999999999818,0.7049999999999272
later,resistance_1,breakout,9,0.2222222222222222,0.0,0.1599999999998544,0.949999999999818,0.4799999999995634
later,resistance_1,inside,21,0.19047619047619047,0.09523809523809523,-0.0500000000001819,0.680000000000291,0.5799999999999272
