period,zone_group,events,cover_5s_rate,excellent_proxy_rate,median_mfe_15,median_mae_15
earlier,0 - no zone,14097,0.4923742640278073,0.15216003404979783,0.31999999999970896,0.8500000000003638
earlier,1 - single zone,720,0.49166666666666664,0.15416666666666667,0.31999999999970896,0.830000000000382
earlier,2+ - confluence,145,0.3931034482758621,0.1310344827586207,0.1500000000005457,0.6899999999995998
later,0 - no zone,5493,0.3841252503185873,0.1112324776988895,0.1499999999996362,0.8000000000001819
later,1 - single zone,508,0.39763779527559057,0.13976377952755906,0.11000000000058208,0.7350000000001273
later,2+ - confluence,78,0.2692307692307692,0.05128205128205128,-0.0749999999998181,0.7200000000002547
