period,zone,events,cover_5s_rate,excellent_proxy_rate,median_mfe_15,median_mae_15,median_mfe_60
earlier,support_1,39,0.6153846153846154,0.2564102564102564,0.5300000000006548,1.2799999999997453,3.4200000000000728
earlier,previous_high,43,0.3953488372093023,0.20930232558139536,0.3500000000003638,1.0299999999997453,1.0300000000006548
earlier,previous_low,56,0.6607142857142857,0.19642857142857142,1.175000000000182,2.2100000000000364,2.8799999999996544
earlier,classic_pivot,39,0.4358974358974359,0.1794871794871795,0.23999999999978172,0.6700000000000728,0.569999999999709
earlier,previous_midrange,28,0.5,0.17857142857142858,0.2600000000002183,0.8150000000000546,1.0399999999999636
earlier,no_hot_zone,14097,0.4923742640278073,0.15216003404979783,0.31999999999970896,0.8500000000003638,1.1900000000005093
earlier,any_hot_zone,865,0.4751445086705202,0.15028901734104047,0.27999999999974534,0.819999999999709,1.0599999999994907
earlier,opening_range_high,60,0.36666666666666664,0.15,0.1950000000001637,0.8249999999998181,1.5399999999999636
earlier,time_average,228,0.4473684210526316,0.14912280701754385,0.2450000000003456,0.6799999999998363,0.8650000000002365
earlier,quote_average,223,0.452914798206278,0.14349775784753363,0.22000000000025466,0.7600000000002183,0.8599999999996726
earlier,opening_range_low,71,0.4788732394366197,0.14084507042253522,0.31999999999970896,1.050000000000182,1.6799999999993815
earlier,previous_close,94,0.425531914893617,0.11702127659574468,0.17499999999972715,0.6349999999997635,0.805000000000291
earlier,session_open,88,0.4772727272727273,0.11363636363636363,0.21000000000003638,0.7600000000002183,0.8949999999999818
earlier,resistance_1,61,0.36065573770491804,0.04918032786885246,-0.020000000000436557,0.8000000000001819,0.6799999999993815
later,previous_low,2,1.0,0.5,3.3900000000003274,2.074999999999818,4.505000000000109
later,support_1,3,1.0,0.3333333333333333,6.869999999999891,0.7899999999999636,16.38000000000011
later,previous_high,24,0.5,0.20833333333333334,0.2800000000002001,0.6150000000002365,1.2599999999997635
later,session_open,25,0.52,0.16,0.05999999999949068,0.7899999999999636,1.3100000000004002
later,opening_range_high,40,0.325,0.15,-0.05999999999994543,1.0949999999998,0.7850000000003092
later,time_average,146,0.363013698630137,0.13013698630136986,0.014999999999417923,0.7250000000003638,0.6649999999999636
later,any_hot_zone,586,0.38054607508532423,0.12798634812286688,0.07000000000016371,0.7300000000004729,0.7899999999999636
later,quote_average,177,0.3446327683615819,0.11299435028248588,0.019999999999527063,0.6999999999998181,0.7200000000002547
later,no_hot_zone,5493,0.3841252503185873,0.1112324776988895,0.1499999999996362,0.8000000000001819,0.8800000000001091
later,previous_midrange,100,0.35,0.1,0.06999999999970896,0.7350000000005821,0.8699999999998909
later,previous_close,20,0.35,0.1,-0.054999999999381544,0.7449999999998909,0.6950000000001637
later,resistance_1,41,0.2926829268292683,0.0975609756097561,-0.02999999999974534,0.6999999999998181,0.5399999999999636
later,opening_range_low,43,0.3953488372093023,0.09302325581395349,0.1000000000003638,0.6300000000001091,0.5500000000001819
later,classic_pivot,56,0.32142857142857145,0.05357142857142857,0.03999999999996362,0.7549999999996544,0.8249999999998181
