day,previous_high,previous_low,previous_close,classic_pivot,resistance_1,support_1,previous_midrange
2026-01-20,4690.825000000001,4629.445,4671.1,4663.79,4698.135,4636.754999999999,4660.135
2026-01-21,4766.425,4659.62,4756.87,4727.638333333333,4795.656666666667,4688.8516666666665,4713.0225
2026-01-22,4888.64,4755.76,4826.855,4823.751666666667,4891.743333333334,4758.863333333334,4822.200000000001
2026-01-23,4928.59,4772.605,4917.23,4872.808333333333,4973.011666666667,4817.026666666667,4850.5975
2026-01-26,4989.95,4899.875,4981.705,4957.176666666667,5014.478333333334,4924.403333333335,4944.9125
2026-01-27,5111.395,5003.675,5055.045,5056.705,5109.735,5002.014999999999,5057.535
2026-01-28,5182.225,4990.145,5176.85,5116.406666666667,5242.668333333333,5050.588333333333,5086.185
2026-01-29,5391.49,5157.32,5376.695,5308.501666666666,5459.6833333333325,5225.513333333332,5274.405
2026-01-30,5598.66,5099.4,5394.754999999999,5364.2716666666665,5629.143333333333,5129.883333333333,5349.03
2026-02-02,5451.0650000000005,4682.1,4847.875,4993.68,5305.26,4536.295,5066.5825
2026-02-03,4884.9400000000005,4402.955,4652.38,4646.758333333334,4890.561666666668,4408.576666666668,4643.9475
2026-02-04,4993.88,4643.875,4944.575,4860.776666666668,5077.678333333335,4727.673333333335,4818.8775000000005
2026-02-05,5092.115,4853.7,4938.58,4961.464999999999,5069.229999999999,4830.814999999999,4972.907499999999
2026-02-06,5023.9400000000005,4789.475,4811.25,4874.888333333333,4960.301666666666,4725.836666666666,4906.7075
2026-02-09,4971.595,4655.094999999999,4953.57,4860.086666666666,5065.078333333333,4748.578333333332,4813.344999999999
2026-02-10,5086.45,4965.155000000001,5079.594999999999,5043.733333333333,5122.311666666665,5001.0166666666655,5025.8025
2026-02-11,5083.26,4987.5,5030.66,5033.806666666666,5080.113333333333,4984.353333333333,5035.38
2026-02-12,5119.025,5018.54,5086.98,5074.848333333332,5131.156666666665,5030.671666666665,5068.782499999999
